group,subgroup,value
Lassen Volcanic National Park,Ambystomatidae,1
Lassen Volcanic National Park,Bufonidae,1
Lassen Volcanic National Park,Hylidae,1
Lassen Volcanic National Park,Plethodontidae,1
Lassen Volcanic National Park,Ranidae,3
Lassen Volcanic National Park,Salamandridae,1
Lava Beds National Monument,Bufonidae,1
Lava Beds National Monument,Hylidae,1
Lava Beds National Monument,Ranidae,1
Lewis and Clark National Historical Park,Ambystomatidae,3
Lewis and Clark National Historical Park,Hylidae,1
Lewis and Clark National Historical Park,Plethodontidae,3
Lewis and Clark National Historical Park,Ranidae,2
Lewis and Clark National Historical Park,Rhyacotritonidae,1
Lewis and Clark National Historical Park,Salamandridae,1
Lincoln Boyhood National Memorial,Ambystomatidae,3
Lincoln Boyhood National Memorial,Bufonidae,1
Lincoln Boyhood National Memorial,Hylidae,4
Lincoln Boyhood National Memorial,Plethodontidae,3
Lincoln Boyhood National Memorial,Ranidae,4
Little Bighorn Battlefield National Monument,Ambystomatidae,1
Little Bighorn Battlefield National Monument,Bufonidae,2
Little Bighorn Battlefield National Monument,Ranidae,1
Little Bighorn Battlefield National Monument,Scaphiopodidae,1
Little River Canyon National Preserve,Ambystomatidae,3
Little River Canyon National Preserve,Bufonidae,2
Little River Canyon National Preserve,Hylidae,8
Little River Canyon National Preserve,Microhylidae,1
Little River Canyon National Preserve,Plethodontidae,12
Little River Canyon National Preserve,Proteidae,1
Little River Canyon National Preserve,Ranidae,5
Little River Canyon National Preserve,Salamandridae,1
Little River Canyon National Preserve,Scaphiopodidae,1
Lyndon B. Johnson National Historical Park,Bufonidae,5
Lyndon B. Johnson National Historical Park,Hylidae,4
Lyndon B. Johnson National Historical Park,Microhylidae,1
Lyndon B. Johnson National Historical Park,Ranidae,2
Lyndon B. Johnson National Historical Park,Scaphiopodidae,2
Mammoth Cave National Park,Ambystomatidae,5
Mammoth Cave National Park,Bufonidae,2
Mammoth Cave National Park,Cryptobranchidae,1
Mammoth Cave National Park,Hylidae,5
Mammoth Cave National Park,Microhylidae,1
Mammoth Cave National Park,Plethodontidae,10
Mammoth Cave National Park,Proteidae,1
Mammoth Cave National Park,Ranidae,5
Mammoth Cave National Park,Salamandridae,1
Mammoth Cave National Park,Scaphiopodidae,1
Manassas National Battlefield Park,Ambystomatidae,3
Manassas National Battlefield Park,Bufonidae,2
Manassas National Battlefield Park,Hylidae,5
Manassas National Battlefield Park,Plethodontidae,5
Manassas National Battlefield Park,Ranidae,5
Manassas National Battlefield Park,Salamandridae,1
Manhattan Project National Historical Park,Ranidae,1
Manzanar National Historic Site,Ranidae,1
Marsh-Billings-Rockefeller National Historical Park,Ambystomatidae,2
Marsh-Billings-Rockefeller National Historical Park,Bufonidae,1
Marsh-Billings-Rockefeller National Historical Park,Hylidae,2
Marsh-Billings-Rockefeller National Historical Park,Plethodontidae,3
Marsh-Billings-Rockefeller National Historical Park,Ranidae,5
Marsh-Billings-Rockefeller National Historical Park,Salamandridae,1
"Martin Luther King, Jr. National Historical Park",Hylidae,1
Martin Van Buren National Historic Site,Ambystomatidae,2
Martin Van Buren National Historic Site,Bufonidae,1
Martin Van Buren National Historic Site,Hylidae,2
Martin Van Buren National Historic Site,Plethodontidae,2
Martin Van Buren National Historic Site,Ranidae,4
Mesa Verde National Park,Ambystomatidae,1
Mesa Verde National Park,Bufonidae,2
Mesa Verde National Park,Hylidae,1
Mesa Verde National Park,Ranidae,2
Mesa Verde National Park,Scaphiopodidae,2
Minidoka National Historic Site,Pipidae,1
Minidoka National Historic Site,Ranidae,1
Minute Man National Historical Park,Ambystomatidae,2
Minute Man National Historical Park,Bufonidae,1
Minute Man National Historical Park,Hylidae,2
Minute Man National Historical Park,Plethodontidae,3
Minute Man National Historical Park,Ranidae,5
Minute Man National Historical Park,Salamandridae,1
Mississippi National River and Recreation Area,Ambystomatidae,2
Mississippi National River and Recreation Area,Bufonidae,1
Mississippi National River and Recreation Area,Hylidae,5
Mississippi National River and Recreation Area,Proteidae,1
Mississippi National River and Recreation Area,Ranidae,6
Mississippi National River and Recreation Area,Salamandridae,1
Missouri National Recreational River,Ambystomatidae,1
Missouri National Recreational River,Bufonidae,2
Missouri National Recreational River,Hylidae,3
Missouri National Recreational River,Ranidae,3
Missouri National Recreational River,Scaphiopodidae,1
Mojave National Preserve,Bufonidae,2
Mojave National Preserve,Hylidae,1
Monocacy National Battlefield,Ambystomatidae,2
Monocacy National Battlefield,Bufonidae,2
Monocacy National Battlefield,Hylidae,2
Monocacy National Battlefield,Plethodontidae,7
Monocacy National Battlefield,Ranidae,5
Monocacy National Battlefield,Salamandridae,1
Monocacy National Battlefield,Scaphiopodidae,1
Montezuma Castle National Monument,Bufonidae,3
Montezuma Castle National Monument,Hylidae,1
Montezuma Castle National Monument,Ranidae,2
Moores Creek National Battlefield,Ambystomatidae,1
Moores Creek National Battlefield,Amphiumidae,1
Moores Creek National Battlefield,Bufonidae,2
Moores Creek National Battlefield,Hylidae,9
Moores Creek National Battlefield,Microhylidae,1
Moores Creek National Battlefield,Plethodontidae,2
Moores Creek National Battlefield,Ranidae,4
Moores Creek National Battlefield,Scaphiopodidae,1
Moores Creek National Battlefield,Sirenidae,2
Morristown National Historical Park,Ambystomatidae,4
Morristown National Historical Park,Bufonidae,1
Morristown National Historical Park,Hylidae,3
Morristown National Historical Park,Plethodontidae,8
Morristown National Historical Park,Ranidae,4
Morristown National Historical Park,Salamandridae,1
Mount Rainier National Park,Ambystomatidae,4
Mount Rainier National Park,Bufonidae,1
Mount Rainier National Park,Hylidae,1
Mount Rainier National Park,Leiopelmatidae,1
Mount Rainier National Park,Plethodontidae,4
Mount Rainier National Park,Ranidae,3
Mount Rainier National Park,Rhyacotritonidae,1
Mount Rainier National Park,Salamandridae,1
Mount Rushmore National Memorial,Ambystomatidae,1
Mount Rushmore National Memorial,Hylidae,1
Mount Rushmore National Memorial,Ranidae,2
Muir Woods National Monument,Ambystomatidae,1
Muir Woods National Monument,Pipidae,1
Muir Woods National Monument,Plethodontidae,3
Muir Woods National Monument,Ranidae,2
Muir Woods National Monument,Salamandridae,2
Natchez Trace Parkway,Ambystomatidae,5
Natchez Trace Parkway,Amphiumidae,2
Natchez Trace Parkway,Bufonidae,2
Natchez Trace Parkway,Cryptobranchidae,1
Natchez Trace Parkway,Eleutherodactylidae,1
Natchez Trace Parkway,Hylidae,10
Natchez Trace Parkway,Microhylidae,1
Natchez Trace Parkway,Plethodontidae,13
Natchez Trace Parkway,Proteidae,1
Natchez Trace Parkway,Ranidae,5
Natchez Trace Parkway,Salamandridae,1
Natchez Trace Parkway,Scaphiopodidae,1
Natchez Trace Parkway,Sirenidae,1
National Park of American Samoa,Bufonidae,1
Natural Bridges National Monument,Ambystomatidae,1
Natural Bridges National Monument,Bufonidae,2
Natural Bridges National Monument,Hylidae,1
Natural Bridges National Monument,Ranidae,2
Natural Bridges National Monument,Scaphiopodidae,3
Navajo National Monument,Ambystomatidae,1
Navajo National Monument,Bufonidae,2
Navajo National Monument,Hylidae,1
Navajo National Monument,Ranidae,1
Navajo National Monument,Scaphiopodidae,2
New Bedford Whaling National Historical Park,Ranidae,1
New River Gorge National Park and Preserve,Ambystomatidae,2
New River Gorge National Park and Preserve,Bufonidae,2
New River Gorge National Park and Preserve,Hylidae,4
New River Gorge National Park and Preserve,Plethodontidae,18
New River Gorge National Park and Preserve,Proteidae,1
New River Gorge National Park and Preserve,Ranidae,4
New River Gorge National Park and Preserve,Salamandridae,1
Nez Perce National Historical Park,Ambystomatidae,2
Nez Perce National Historical Park,Bufonidae,1
Nez Perce National Historical Park,Hylidae,2
Nez Perce National Historical Park,Ranidae,2
Ninety Six National Historic Site,Ambystomatidae,3
Ninety Six National Historic Site,Bufonidae,1
Ninety Six National Historic Site,Hylidae,8
Ninety Six National Historic Site,Microhylidae,1
Ninety Six National Historic Site,Plethodontidae,9
Ninety Six National Historic Site,Ranidae,4
Ninety Six National Historic Site,Salamandridae,1
Ninety Six National Historic Site,Scaphiopodidae,1
Niobrara National Scenic River,Ambystomatidae,1
Niobrara National Scenic River,Bufonidae,2
Niobrara National Scenic River,Hylidae,2
Niobrara National Scenic River,Ranidae,3
Niobrara National Scenic River,Scaphiopodidae,1
Noatak National Preserve,Ranidae,1
North Cascades National Park,Ambystomatidae,3
North Cascades National Park,Bufonidae,1
North Cascades National Park,Hylidae,1
North Cascades National Park,Leiopelmatidae,1
North Cascades National Park,Plethodontidae,2
North Cascades National Park,Ranidae,4
North Cascades National Park,Salamandridae,1
Obed Wild and Scenic River,Ambystomatidae,3
Obed Wild and Scenic River,Bufonidae,2
Obed Wild and Scenic River,Cryptobranchidae,1
Obed Wild and Scenic River,Hylidae,5
Obed Wild and Scenic River,Microhylidae,1
Obed Wild and Scenic River,Plethodontidae,14
Obed Wild and Scenic River,Proteidae,1
Obed Wild and Scenic River,Ranidae,5
Obed Wild and Scenic River,Salamandridae,1
Obed Wild and Scenic River,Scaphiopodidae,1
Ocmulgee Mounds National Historical Park,Ambystomatidae,1
Ocmulgee Mounds National Historical Park,Amphiumidae,1
Ocmulgee Mounds National Historical Park,Bufonidae,3
Ocmulgee Mounds National Historical Park,Hylidae,11
Ocmulgee Mounds National Historical Park,Microhylidae,1
Ocmulgee Mounds National Historical Park,Plethodontidae,5
Ocmulgee Mounds National Historical Park,Proteidae,1
Ocmulgee Mounds National Historical Park,Ranidae,3
Ocmulgee Mounds National Historical Park,Scaphiopodidae,1
Olympic National Park,Ambystomatidae,3
Olympic National Park,Bufonidae,1
Olympic National Park,Hylidae,1
Olympic National Park,Leiopelmatidae,1
Olympic National Park,Plethodontidae,3
Olympic National Park,Ranidae,2
Olympic National Park,Rhyacotritonidae,1
Olympic National Park,Salamandridae,1
Oregon Caves National Monument and Preserve,Ambystomatidae,1
Oregon Caves National Monument and Preserve,Bufonidae,1
Oregon Caves National Monument and Preserve,Hylidae,1
Oregon Caves National Monument and Preserve,Leiopelmatidae,1
Oregon Caves National Monument and Preserve,Plethodontidae,3
Oregon Caves National Monument and Preserve,Ranidae,1
Oregon Caves National Monument and Preserve,Rhyacotritonidae,1
Oregon Caves National Monument and Preserve,Salamandridae,1
Organ Pipe Cactus National Monument,Ambystomatidae,1
Organ Pipe Cactus National Monument,Bufonidae,4
Organ Pipe Cactus National Monument,Hylidae,1
Organ Pipe Cactus National Monument,Microhylidae,1
Organ Pipe Cactus National Monument,Ranidae,1
Organ Pipe Cactus National Monument,Scaphiopodidae,2
Oxon Cove Park and Oxon Hill Run,Ambystomatidae,1
Oxon Cove Park and Oxon Hill Run,Bufonidae,1
Oxon Cove Park and Oxon Hill Run,Hylidae,3
Oxon Cove Park and Oxon Hill Run,Ranidae,2
Oxon Run National Parkway,Plethodontidae,1
Oxon Run National Parkway,Ranidae,1
Oxon Run National Parkway,Salamandridae,1
Ozark National Scenic Riverways,Ambystomatidae,4
Ozark National Scenic Riverways,Bufonidae,2
Ozark National Scenic Riverways,Cryptobranchidae,1
Ozark National Scenic Riverways,Hylidae,4
Ozark National Scenic Riverways,Microhylidae,1
Ozark National Scenic Riverways,Plethodontidae,6
Ozark National Scenic Riverways,Proteidae,1
Ozark National Scenic Riverways,Ranidae,5
Ozark National Scenic Riverways,Salamandridae,1
Ozark National Scenic Riverways,Sirenidae,1
Padre Island National Seashore,Bufonidae,3
Padre Island National Seashore,Hylidae,3
Padre Island National Seashore,Microhylidae,1
Padre Island National Seashore,Ranidae,3
Padre Island National Seashore,Salamandridae,1
Padre Island National Seashore,Scaphiopodidae,2
Palo Alto Battlefield National Historical Park,Bufonidae,1
Palo Alto Battlefield National Historical Park,Eleutherodactylidae,1
Palo Alto Battlefield National Historical Park,Hylidae,3
Palo Alto Battlefield National Historical Park,Microhylidae,1
Palo Alto Battlefield National Historical Park,Ranidae,1
Palo Alto Battlefield National Historical Park,Scaphiopodidae,2
Palo Alto Battlefield National Historical Park,Sirenidae,1
Parashant National Monument,Ambystomatidae,1
Parashant National Monument,Bufonidae,3
Parashant National Monument,Hylidae,1
Parashant National Monument,Ranidae,2
Parashant National Monument,Scaphiopodidae,1
Pea Ridge National Military Park,Ambystomatidae,3
Pea Ridge National Military Park,Bufonidae,1
Pea Ridge National Military Park,Hylidae,4
Pea Ridge National Military Park,Microhylidae,1
Pea Ridge National Military Park,Plethodontidae,5
Pea Ridge National Military Park,Ranidae,6
Pea Ridge National Military Park,Salamandridae,1
Pecos National Historical Park,Ambystomatidae,1
Pecos National Historical Park,Bufonidae,2
Pecos National Historical Park,Ranidae,2
Pecos National Historical Park,Scaphiopodidae,1
Petersburg National Battlefield,Ambystomatidae,2
Petersburg National Battlefield,Amphiumidae,1
Petersburg National Battlefield,Bufonidae,2
Petersburg National Battlefield,Hylidae,6
Petersburg National Battlefield,Microhylidae,1
Petersburg National Battlefield,Plethodontidae,5
Petersburg National Battlefield,Ranidae,4
Petersburg National Battlefield,Salamandridae,1
Petersburg National Battlefield,Scaphiopodidae,1
Petersburg National Battlefield,Sirenidae,1
Petrified Forest National Park,Ambystomatidae,1
Petrified Forest National Park,Bufonidae,3
Petrified Forest National Park,Scaphiopodidae,3
Petroglyph National Monument,Ambystomatidae,1
Petroglyph National Monument,Bufonidae,3
Petroglyph National Monument,Ranidae,1
Petroglyph National Monument,Scaphiopodidae,3
Pictured Rocks National Lakeshore,Ambystomatidae,3
Pictured Rocks National Lakeshore,Bufonidae,1
Pictured Rocks National Lakeshore,Hylidae,3
Pictured Rocks National Lakeshore,Plethodontidae,2
Pictured Rocks National Lakeshore,Proteidae,1
Pictured Rocks National Lakeshore,Ranidae,6
Pictured Rocks National Lakeshore,Salamandridae,1
Pinnacles National Park,Bufonidae,1
Pinnacles National Park,Hylidae,1
Pinnacles National Park,Plethodontidae,3
Pinnacles National Park,Ranidae,3
Pinnacles National Park,Salamandridae,1
Pinnacles National Park,Scaphiopodidae,1
Pipe Spring National Monument,Ambystomatidae,1
Pipe Spring National Monument,Bufonidae,2
Pipe Spring National Monument,Scaphiopodidae,1
Pipestone National Monument,Ambystomatidae,1
Pipestone National Monument,Bufonidae,2
Pipestone National Monument,Hylidae,2
Pipestone National Monument,Ranidae,1
Piscataway Park,Ambystomatidae,2
Piscataway Park,Bufonidae,2
Piscataway Park,Hylidae,6
Piscataway Park,Plethodontidae,2
Piscataway Park,Ranidae,6
Piscataway Park,Scaphiopodidae,1
Point Reyes National Seashore,Ambystomatidae,1
Point Reyes National Seashore,Bufonidae,1
Point Reyes National Seashore,Hylidae,1
Point Reyes National Seashore,Pipidae,1
Point Reyes National Seashore,Plethodontidae,3
Point Reyes National Seashore,Ranidae,3
Point Reyes National Seashore,Salamandridae,2
Poverty Point National Monument,Bufonidae,1
Poverty Point National Monument,Ranidae,1
Presidio of San Francisco,Ambystomatidae,1
Presidio of San Francisco,Bufonidae,1
Presidio of San Francisco,Hylidae,1
Presidio of San Francisco,Plethodontidae,3
Presidio of San Francisco,Ranidae,2
Presidio of San Francisco,Salamandridae,2
Prince William Forest Park,Ambystomatidae,2
Prince William Forest Park,Bufonidae,2
Prince William Forest Park,Hylidae,6
Prince William Forest Park,Plethodontidae,8
Prince William Forest Park,Ranidae,5
Prince William Forest Park,Salamandridae,1
Pu'uhonua O Honaunau National Historical Park,Bufonidae,1
Pu'uhonua O Honaunau National Historical Park,Eleutherodactylidae,2
Pu'uhonua O Honaunau National Historical Park,Ranidae,1
Pu'ukohola Heiau National Historic Site,Bufonidae,1
Pu'ukohola Heiau National Historic Site,Eleutherodactylidae,2
Pu'ukohola Heiau National Historic Site,Ranidae,1
Pullman National Historic Site,Bufonidae,1
Rainbow Bridge National Monument,Ambystomatidae,1
Rainbow Bridge National Monument,Bufonidae,2
Rainbow Bridge National Monument,Hylidae,1
Rainbow Bridge National Monument,Ranidae,1
Rainbow Bridge National Monument,Scaphiopodidae,3
Reconstruction Era National Historical Park,Hylidae,1
Redwood National Park,Ambystomatidae,2
Redwood National Park,Bufonidae,1
Redwood National Park,Hylidae,1
Redwood National Park,Leiopelmatidae,1
Redwood National Park,Plethodontidae,8
Redwood National Park,Ranidae,3
Redwood National Park,Rhyacotritonidae,1
Redwood National Park,Salamandridae,2
Richmond National Battlefield Park,Ambystomatidae,2
Richmond National Battlefield Park,Amphiumidae,1
Richmond National Battlefield Park,Bufonidae,2
Richmond National Battlefield Park,Hylidae,6
Richmond National Battlefield Park,Microhylidae,1
Richmond National Battlefield Park,Plethodontidae,5
Richmond National Battlefield Park,Ranidae,4
Richmond National Battlefield Park,Salamandridae,1
Richmond National Battlefield Park,Scaphiopodidae,1
Rio Grande National Wild and Scenic River,Hylidae,1
Rio Grande National Wild and Scenic River,Ranidae,1
Rock Creek Park,Ambystomatidae,2
Rock Creek Park,Bufonidae,2
Rock Creek Park,Hylidae,4
Rock Creek Park,Plethodontidae,7
Rock Creek Park,Ranidae,5
Rocky Mountain National Park,Ambystomatidae,1
Rocky Mountain National Park,Bufonidae,1
Rocky Mountain National Park,Hylidae,1
Rocky Mountain National Park,Ranidae,3
Rosie the Riveter World War II Home Front National Historical Park,Pipidae,1
Rosie the Riveter World War II Home Front National Historical Park,Ranidae,1
Ross Lake National Recreation Area,Ambystomatidae,2
Ross Lake National Recreation Area,Bufonidae,1
Ross Lake National Recreation Area,Hylidae,1
Ross Lake National Recreation Area,Leiopelmatidae,1
Ross Lake National Recreation Area,Plethodontidae,2
Ross Lake National Recreation Area,Ranidae,1
Russell Cave National Monument,Ambystomatidae,2
Russell Cave National Monument,Bufonidae,2
Russell Cave National Monument,Hylidae,6
Russell Cave National Monument,Microhylidae,1
Russell Cave National Monument,Plethodontidae,12
Russell Cave National Monument,Ranidae,4
Russell Cave National Monument,Salamandridae,1
Sagamore Hill National Historic Site,Ambystomatidae,1
Sagamore Hill National Historic Site,Hylidae,2
Sagamore Hill National Historic Site,Plethodontidae,1
Sagamore Hill National Historic Site,Ranidae,1
Saguaro National Park,Bufonidae,3
Saguaro National Park,Hylidae,1
Saguaro National Park,Pipidae,1
Saguaro National Park,Ranidae,2
Saguaro National Park,Scaphiopodidae,2
Saint Croix National Scenic Riverway,Ambystomatidae,3
Saint Croix National Scenic Riverway,Bufonidae,1
Saint Croix National Scenic Riverway,Hylidae,4
Saint Croix National Scenic Riverway,Plethodontidae,2
Saint Croix National Scenic Riverway,Proteidae,1
Saint Croix National Scenic Riverway,Ranidae,6
Saint Croix National Scenic Riverway,Salamandridae,1
Saint-Gaudens National Historical Park,Ambystomatidae,2
Saint-Gaudens National Historical Park,Bufonidae,1
Saint-Gaudens National Historical Park,Hylidae,3
Saint-Gaudens National Historical Park,Plethodontidae,3
Saint-Gaudens National Historical Park,Ranidae,4
Saint-Gaudens National Historical Park,Salamandridae,1
Salinas Pueblo Missions National Monument,Ambystomatidae,1
Salinas Pueblo Missions National Monument,Bufonidae,2
Salinas Pueblo Missions National Monument,Hylidae,1
Salinas Pueblo Missions National Monument,Ranidae,1
Salinas Pueblo Missions National Monument,Scaphiopodidae,2
Salt River Bay National Historical Park and Ecological Preserve,Bufonidae,1
San Antonio Missions National Historical Park,Bufonidae,1
San Antonio Missions National Historical Park,Eleutherodactylidae,1
San Antonio Missions National Historical Park,Hylidae,3
San Antonio Missions National Historical Park,Microhylidae,1
San Antonio Missions National Historical Park,Ranidae,2
San Antonio Missions National Historical Park,Scaphiopodidae,1
San Francisco Maritime National Historical Park,Pipidae,1
San Francisco Maritime National Historical Park,Plethodontidae,1
San Francisco Maritime National Historical Park,Ranidae,1
San Juan Island National Historical Park,Bufonidae,1
San Juan Island National Historical Park,Hylidae,1
San Juan Island National Historical Park,Ranidae,2
San Juan Island National Historical Park,Salamandridae,1
San Juan National Historic Site,Bufonidae,1
San Juan National Historic Site,Eleutherodactylidae,1
San Juan National Historic Site,Hylidae,2
San Juan National Historic Site,Ranidae,2
Sand Creek Massacre National Historic Site,Ambystomatidae,1
Sand Creek Massacre National Historic Site,Bufonidae,2
Sand Creek Massacre National Historic Site,Ranidae,1
Santa Monica Mountains National Recreation Area,Bufonidae,2
Santa Monica Mountains National Recreation Area,Hylidae,2
Santa Monica Mountains National Recreation Area,Pipidae,1
Santa Monica Mountains National Recreation Area,Plethodontidae,5
Santa Monica Mountains National Recreation Area,Ranidae,2
Santa Monica Mountains National Recreation Area,Salamandridae,1
Santa Monica Mountains National Recreation Area,Scaphiopodidae,1
Saratoga National Historical Park,Ambystomatidae,3
Saratoga National Historical Park,Bufonidae,1
Saratoga National Historical Park,Hylidae,2
Saratoga National Historical Park,Plethodontidae,2
Saratoga National Historical Park,Ranidae,5
Saratoga National Historical Park,Salamandridae,1
Saugus Iron Works National Historic Site,Ambystomatidae,2
Saugus Iron Works National Historic Site,Bufonidae,1
Saugus Iron Works National Historic Site,Hylidae,1
Saugus Iron Works National Historic Site,Plethodontidae,3
Saugus Iron Works National Historic Site,Ranidae,4
Saugus Iron Works National Historic Site,Salamandridae,1
Scotts Bluff National Monument,Ambystomatidae,1
Scotts Bluff National Monument,Bufonidae,2
Scotts Bluff National Monument,Hylidae,1
Scotts Bluff National Monument,Ranidae,2
Scotts Bluff National Monument,Scaphiopodidae,1
Sequoia National Park,Bufonidae,1
Sequoia National Park,Hylidae,1
Sequoia National Park,Plethodontidae,4
Sequoia National Park,Ranidae,3
Sequoia National Park,Salamandridae,2
Shenandoah National Park,Ambystomatidae,4
Shenandoah National Park,Bufonidae,2
Shenandoah National Park,Hylidae,4
Shenandoah National Park,Plethodontidae,13
Shenandoah National Park,Ranidae,4
Shenandoah National Park,Salamandridae,1
Shenandoah National Park,Scaphiopodidae,1
Shiloh National Military Park,Ambystomatidae,4
Shiloh National Military Park,Bufonidae,2
Shiloh National Military Park,Hylidae,9
Shiloh National Military Park,Microhylidae,1
Shiloh National Military Park,Plethodontidae,7
Shiloh National Military Park,Ranidae,3
Shiloh National Military Park,Salamandridae,1
Sitka National Historical Park,Salamandridae,1
Sleeping Bear Dunes National Lakeshore,Ambystomatidae,3
Sleeping Bear Dunes National Lakeshore,Bufonidae,2
Sleeping Bear Dunes National Lakeshore,Hylidae,5
Sleeping Bear Dunes National Lakeshore,Plethodontidae,2
Sleeping Bear Dunes National Lakeshore,Proteidae,1
Sleeping Bear Dunes National Lakeshore,Ranidae,5
Sleeping Bear Dunes National Lakeshore,Salamandridae,1
Stones River National Battlefield,Ambystomatidae,4
Stones River National Battlefield,Bufonidae,2
Stones River National Battlefield,Hylidae,4
Stones River National Battlefield,Microhylidae,1
Stones River National Battlefield,Plethodontidae,8
Stones River National Battlefield,Proteidae,1
Stones River National Battlefield,Ranidae,4
Stones River National Battlefield,Salamandridae,1
Stones River National Battlefield,Scaphiopodidae,1
Stonewall National Monument,Ranidae,1
Suitland Parkway,Hylidae,2
Suitland Parkway,Plethodontidae,3
Suitland Parkway,Salamandridae,1
Sunset Crater Volcano National Monument,Ambystomatidae,1
Sunset Crater Volcano National Monument,Scaphiopodidae,1
Tallgrass Prairie National Preserve,Ambystomatidae,2
Tallgrass Prairie National Preserve,Bufonidae,3
Tallgrass Prairie National Preserve,Hylidae,4
Tallgrass Prairie National Preserve,Microhylidae,1
Tallgrass Prairie National Preserve,Proteidae,1
Tallgrass Prairie National Preserve,Ranidae,2
Tallgrass Prairie National Preserve,Scaphiopodidae,1
Theodore Roosevelt Island,Bufonidae,2
Theodore Roosevelt Island,Hylidae,3
Theodore Roosevelt Island,Ranidae,2
Theodore Roosevelt National Park,Ambystomatidae,1
Theodore Roosevelt National Park,Bufonidae,2
Theodore Roosevelt National Park,Hylidae,2
Theodore Roosevelt National Park,Ranidae,1
Theodore Roosevelt National Park,Scaphiopodidae,1
Thomas Stone National Historic Site,Ambystomatidae,1
Thomas Stone National Historic Site,Bufonidae,1
Thomas Stone National Historic Site,Hylidae,3
Thomas Stone National Historic Site,Plethodontidae,4
Thomas Stone National Historic Site,Ranidae,5
Timpanogos Cave National Monument,Ambystomatidae,1
Timpanogos Cave National Monument,Bufonidae,1
Timpanogos Cave National Monument,Hylidae,1
Timpanogos Cave National Monument,Ranidae,1
Timucuan Ecological and Historic Preserve,Ambystomatidae,1
Timucuan Ecological and Historic Preserve,Bufonidae,2
Timucuan Ecological and Historic Preserve,Eleutherodactylidae,1
Timucuan Ecological and Historic Preserve,Hylidae,8
Timucuan Ecological and Historic Preserve,Microhylidae,1
Timucuan Ecological and Historic Preserve,Plethodontidae,2
Timucuan Ecological and Historic Preserve,Ranidae,5
Timucuan Ecological and Historic Preserve,Salamandridae,2
Timucuan Ecological and Historic Preserve,Scaphiopodidae,1
Tonto National Monument,Ambystomatidae,1
Tonto National Monument,Bufonidae,5
Tonto National Monument,Hylidae,2
Tonto National Monument,Ranidae,2
Tonto National Monument,Scaphiopodidae,2
Tule Lake National Monument,Ranidae,1
Tumacacori National Historical Park,Bufonidae,4
Tumacacori National Historical Park,Hylidae,1
Tumacacori National Historical Park,Microhylidae,1
Tumacacori National Historical Park,Ranidae,1
Tumacacori National Historical Park,Scaphiopodidae,2
Tuskegee Airmen National Historic Site,Hylidae,1
Tuskegee Institute National Historic Site,Hylidae,2
Tuskegee Institute National Historic Site,Plethodontidae,1
Tuskegee Institute National Historic Site,Ranidae,1
Tuzigoot National Monument,Bufonidae,3
Tuzigoot National Monument,Ranidae,1
Upper Delaware Scenic and Recreational River,Ambystomatidae,3
Upper Delaware Scenic and Recreational River,Bufonidae,1
Upper Delaware Scenic and Recreational River,Hylidae,3
Upper Delaware Scenic and Recreational River,Plethodontidae,8
Upper Delaware Scenic and Recreational River,Ranidae,5
Upper Delaware Scenic and Recreational River,Salamandridae,1
Valles Caldera National Preserve,Ambystomatidae,1
Valles Caldera National Preserve,Hylidae,1
Valles Caldera National Preserve,Plethodontidae,1
Valles Caldera National Preserve,Ranidae,1
Valley Forge National Historical Park,Bufonidae,2
Valley Forge National Historical Park,Hylidae,2
Valley Forge National Historical Park,Plethodontidae,6
Valley Forge National Historical Park,Ranidae,5
Valley Forge National Historical Park,Salamandridae,1
Vanderbilt Mansion National Historic Site,Bufonidae,1
Vanderbilt Mansion National Historic Site,Hylidae,2
Vanderbilt Mansion National Historic Site,Plethodontidae,1
Vanderbilt Mansion National Historic Site,Ranidae,3
Vicksburg National Military Park,Ambystomatidae,3
Vicksburg National Military Park,Bufonidae,3
Vicksburg National Military Park,Hylidae,8
Vicksburg National Military Park,Microhylidae,1
Vicksburg National Military Park,Plethodontidae,6
Vicksburg National Military Park,Ranidae,5
Vicksburg National Military Park,Salamandridae,1
Vicksburg National Military Park,Scaphiopodidae,1
Virgin Islands National Park,Bufonidae,2
Virgin Islands National Park,Eleutherodactylidae,4
Virgin Islands National Park,Hylidae,1
Virgin Islands National Park,Leptodactylidae,1
Voyageurs National Park,Ambystomatidae,1
Voyageurs National Park,Bufonidae,1
Voyageurs National Park,Hylidae,4
Voyageurs National Park,Plethodontidae,1
Voyageurs National Park,Proteidae,1
Voyageurs National Park,Ranidae,4
Voyageurs National Park,Salamandridae,1
Waco Mammoth National Monument,Bufonidae,1
Waco Mammoth National Monument,Eleutherodactylidae,1
Waco Mammoth National Monument,Hylidae,1
Walnut Canyon National Monument,Ambystomatidae,1
Walnut Canyon National Monument,Bufonidae,1
Walnut Canyon National Monument,Hylidae,3
Walnut Canyon National Monument,Scaphiopodidae,2
War in the Pacific National Historical Park,Bufonidae,1
War in the Pacific National Historical Park,Dicroglossidae,2
War in the Pacific National Historical Park,Eleutherodactylidae,2
War in the Pacific National Historical Park,Hylidae,1
War in the Pacific National Historical Park,Ranidae,1
War in the Pacific National Historical Park,Rhacophoridae,1
Washita Battlefield National Historic Site,Ambystomatidae,1
Washita Battlefield National Historic Site,Hylidae,1
Washita Battlefield National Historic Site,Microhylidae,1
Washita Battlefield National Historic Site,Ranidae,2
